"host_response_rate" "host_acceptance_rate" "host_response_time" "host_is_superhost"
"16404" 100 70 "within a few hours" "f"
"16405" NA NA "N/A" "f"
"16406" 100 100 "within an hour" "f"
"16407" NA NA "N/A" "f"
"16408" 100 31 "within a few hours" "f"
"16409" 100 100 "within a day" "f"
"16410" 100 100 "within a day" "f"
"16411" NA NA "N/A" "f"
"16412" NA NA "N/A" "f"
"16413" 100 83 "within a few hours" "f"
"16414" 94 84 "within a few hours" "f"
"16415" 100 79 "within a few hours" "f"
"16416" 100 100 "within an hour" "f"
"16417" NA NA "N/A" "f"
"16418" 100 84 "within an hour" "t"
"16419" 82 85 "within a day" "f"
"16420" NA NA "N/A" "f"
"16421" NA NA "N/A" "f"
"16422" 100 100 "within an hour" "f"
"16423" 82 85 "within a day" "f"
"16424" NA NA "N/A" "f"
"16425" NA NA "N/A" "f"
"16426" 90 86 "within a day" "f"
"16427" 57 75 "within a day" "f"
"16428" 100 100 "within a few hours" "f"
"16429" 90 56 "within a few hours" "f"
"16430" 67 100 "within an hour" "f"
"16431" 63 100 "within a day" "f"
"16432" NA NA "N/A" "f"
"16433" 100 100 "within a day" "f"
"16434" 100 NA "within a day" "f"
"16435" 100 NA "within an hour" "f"
"16436" 90 60 "within a few hours" "f"
"16437" 50 100 "within a day" "f"
"16438" NA NA "N/A" "f"
"16439" 100 0 "within a day" "t"
"16440" 100 NA "within a few hours" "f"
"16441" NA NA "N/A" "f"
"16442" NA NA "N/A" "f"
"16443" 100 100 "within an hour" "t"
"16444" 100 62 "within a few hours" "f"
"16445" NA NA "N/A" "f"
"16446" 100 100 "within an hour" "f"
"16447" 93 65 "within a day" "f"
"16448" 90 0 "within a day" "f"
"16449" 80 100 "within a day" "f"
"16450" 100 NA "within a few hours" "f"
"16451" 100 100 "within an hour" "f"
"16452" 98 99 "within a few hours" "f"
"16453" NA NA "N/A" "f"
"16454" 100 NA "within a few hours" "f"
"16455" NA NA "N/A" "f"
"16456" NA NA "N/A" "f"
"16457" 97 97 "within a few hours" "f"
"16458" 100 91 "within an hour" "f"
"16459" 100 67 "within a few hours" "f"
"16460" 90 100 "within a few hours" "f"
"16461" 80 90 "within a few hours" "f"
"16462" 80 83 "within a day" "f"
"16463" 100 100 "within an hour" "f"
"16464" NA NA "N/A" "f"
"16465" 90 83 "within a few hours" "t"
"16466" 100 25 "within a day" "f"
"16467" 100 100 "within a few hours" "f"
"16468" NA NA "N/A" "f"
"16469" 100 100 "within an hour" "f"
"16470" 100 100 "within an hour" "f"
"16471" NA NA "N/A" "f"
"16472" 100 86 "within a few hours" "f"
"16473" NA NA "N/A" "f"
"16474" 90 100 "within an hour" "f"
"16475" 50 100 "within a day" "f"
"16476" 100 100 "within an hour" "f"
"16477" 100 NA "within a few hours" "f"
"16478" 100 100 "within a few hours" "f"
"16479" NA NA "N/A" "f"
"16480" 51 96 "within a day" "f"
"16481" 88 67 "within an hour" "t"
"16482" 82 46 "within a day" "f"
"16483" 75 100 "within a day" "f"
"16484" 100 50 "within an hour" "f"
"16485" 92 100 "within a few hours" "f"
"16486" NA NA "N/A" "f"
"16487" 85 93 "within an hour" "f"
"16488" 100 57 "within an hour" "f"
"16489" 100 50 "within an hour" "f"
"16490" 100 100 "within an hour" "f"
"16491" NA NA "N/A" "f"
"16492" 90 52 "within a few hours" "f"
"16493" NA NA "N/A" "f"
"16494" 95 100 "within a few hours" "f"
"16495" 80 75 "within a day" "f"
"16496" 75 100 "within a day" "f"
"16497" 100 100 "within an hour" "f"
"16498" 96 100 "within a few hours" "f"
"16499" 83 100 "within a few hours" "f"
"16500" 86 100 "within a few hours" "t"
"16501" NA NA "N/A" "f"
"16502" 100 NA "within a few hours" "f"
"16503" 100 100 "within a day" "f"
"16504" 70 100 "within a day" "f"
"16505" 100 96 "within a few hours" "f"
"16506" NA NA "N/A" "f"
"16507" 100 99 "within an hour" "f"
"16508" 100 100 "within a few hours" "f"
"16509" 71 100 "within an hour" "f"
"16510" NA NA "N/A" "f"
"16511" NA NA "N/A" "f"
"16512" 90 67 "within a few hours" "f"
"16513" 100 67 "within a few hours" "f"
"16514" 100 83 "within an hour" "f"
"16515" NA NA "N/A" "f"
"16516" 100 67 "within a few hours" "f"
"16517" 100 100 "within a few hours" "f"
"16518" 90 71 "within a few hours" "f"
"16519" 100 100 "within an hour" "f"
"16520" 100 72 "within a few hours" "t"
"16521" NA NA "N/A" "f"
"16522" 40 100 "a few days or more" "f"
"16523" 100 33 "within a day" "f"
"16524" NA NA "N/A" "f"
"16525" NA NA "N/A" "f"
"16526" NA NA "N/A" "f"
"16527" 90 100 "within a day" "f"
"16528" 70 60 "within a few hours" "f"
"16529" 100 100 "within a few hours" "f"
"16530" 100 75 "within an hour" "f"
"16531" 100 100 "within an hour" "f"
"16532" 84 95 "within an hour" "f"
"16533" 70 0 "within a day" "f"
"16534" 70 86 "within a day" "f"
"16535" NA NA "N/A" "f"
"16536" 80 100 "within a day" "f"
"16537" 100 100 "within a day" "f"
"16538" 80 78 "within a day" "f"
"16539" 50 NA "within a day" "f"
"16540" 100 100 "within a few hours" "f"
"16541" 100 100 "within an hour" "f"
"16542" 100 100 "within a few hours" "f"
"16543" 98 62 "within an hour" "f"
"16544" 90 100 "within an hour" "f"
"16545" 60 100 "within a day" "f"
"16546" 100 100 "within a few hours" "f"
"16547" NA NA "N/A" "f"
"16548" 100 100 "within a few hours" "f"
"16549" 100 100 "within a day" "f"
"16550" NA NA "N/A" "f"
"16551" NA NA "N/A" "f"
"16552" 100 100 "within an hour" "f"
"16553" 100 100 "within an hour" "f"
"16554" 100 100 "within a few hours" "f"
"16555" 100 100 "within an hour" "f"
"16556" NA 100 "N/A" "f"
"16557" 100 100 "within an hour" "f"
"16558" 100 100 "within an hour" "f"
"16559" NA NA "N/A" "f"
"16560" 100 100 "within an hour" "f"
"16561" NA NA "N/A" "f"
"16562" 100 0 "within a few hours" "f"
"16563" 100 100 "within an hour" "f"
"16564" 100 100 "within an hour" "f"
"16565" NA NA "N/A" "f"
"16566" 100 100 "within an hour" "f"
"16567" 100 100 "within an hour" "f"
"16568" 100 86 "within a few hours" "f"
"16569" 97 97 "within a few hours" "f"
"16570" 67 NA "within a day" "f"
"16571" 100 100 "within a few hours" "f"
"16572" 100 71 "within a few hours" "f"
"16573" 90 100 "within a day" "f"
"16574" 100 100 "within an hour" "f"
"16575" 100 100 "within an hour" "f"
"16576" 100 100 "within an hour" "f"
"16577" 89 50 "within a day" "f"
"16578" NA NA "N/A" "f"
"16579" 90 65 "within a day" "f"
"16580" 100 100 "within a few hours" "f"
"16581" 90 65 "within a day" "f"
"16582" 100 NA "within an hour" "f"
"16583" NA NA "N/A" "f"
"16584" NA NA "N/A" "f"
"16585" NA NA "N/A" "f"
"16586" 100 100 "within an hour" "f"
"16587" 100 100 "within a few hours" "f"
"16588" 100 100 "within an hour" "f"
"16589" 67 100 "within an hour" "f"
"16590" 100 100 "within an hour" "f"
"16591" 100 43 "within a few hours" "f"
"16592" 100 75 "within a few hours" "f"
"16593" 100 100 "within an hour" "f"
"16594" 100 64 "within a few hours" "f"
"16595" 100 100 "within an hour" "t"
"16596" 100 86 "within a few hours" "f"
"16597" 90 33 "within a few hours" "f"
"16598" 100 82 "within an hour" "f"
"16599" 84 98 "within a few hours" "f"
"16600" 100 88 "within a few hours" "f"
"16601" NA NA "N/A" "f"
"16602" NA NA "N/A" "f"
"16603" NA NA "N/A" "f"
"16604" 100 100 "within a day" "f"
"16605" 100 100 "within an hour" "f"
"16606" 100 100 "within a few hours" "f"
"16607" 90 88 "within a few hours" "f"
"16608" NA NA "N/A" "f"
"16609" 95 75 "within an hour" "f"
"16610" 100 100 "within an hour" "f"
"16611" 100 100 "within a day" "f"
"16612" NA NA "N/A" "f"
"16613" NA NA "N/A" "f"
"16614" 100 67 "within a few hours" "f"
"16615" NA NA "N/A" "f"
"16616" 80 94 "within a few hours" "f"
"16617" 100 95 "within an hour" "f"
"16618" 100 100 "within an hour" "f"
"16619" 86 100 "within a day" "f"
"16620" 100 100 "within a few hours" "f"
"16621" 100 73 "within a few hours" "f"
"16622" 100 100 "within a few hours" "f"
"16623" 100 100 "within a few hours" "f"
"16624" NA NA "N/A" "f"
"16625" NA NA "N/A" "f"
"16626" 100 NA "within a few hours" "f"
"16627" NA NA "N/A" "f"
"16628" 100 100 "within a few hours" "f"
"16629" NA NA "N/A" "f"
"16630" 89 100 "within a few hours" "f"
"16631" 78 83 "within a day" "f"
"16632" 100 33 "within a day" "f"
"16633" 80 75 "within a day" "f"
"16634" 100 92 "within a few hours" "f"
"16635" 100 100 "within an hour" "f"
"16636" 100 96 "within a day" "f"
"16637" 100 100 "within an hour" "f"
"16638" 100 100 "within an hour" "f"
"16639" 90 65 "within a day" "f"
"16640" 100 100 "within a few hours" "f"
"16641" 100 100 "within a day" "f"
"16642" 99 100 "within an hour" "f"
"16643" NA NA "N/A" "f"
"16644" 100 100 "within an hour" "f"
"16645" 100 71 "within an hour" "f"
"16646" 89 0 "within a few hours" "f"
"16647" NA NA "N/A" "f"
"16648" NA NA "N/A" "f"
"16649" NA NA "N/A" "f"
"16650" 100 100 "within a few hours" "f"
"16651" 100 31 "within a few hours" "f"
"16652" 100 100 "within an hour" "f"
"16653" 100 100 "within a few hours" "f"
"16654" 100 100 "within an hour" "f"
"16655" 100 100 "within a day" "f"
"16656" 100 95 "within a few hours" "f"
"16657" NA NA "N/A" "f"
"16658" 100 77 "within an hour" "f"
"16659" NA NA "N/A" "f"
"16660" 86 67 "within an hour" "f"
"16661" 100 100 "within an hour" "f"
"16662" 57 100 "within an hour" "f"
"16663" 100 77 "within a few hours" "t"
"16664" 100 100 "within an hour" "f"
"16665" 100 83 "within an hour" "f"
"16666" NA NA "N/A" "f"
"16667" 100 100 "within a few hours" "f"
"16668" 100 56 "within a day" "f"
"16669" NA 100 "N/A" "f"
"16670" 100 100 "within a day" "f"
"16671" 97 97 "within a few hours" "f"
"16672" 100 94 "within a day" "f"
"16673" 100 100 "within a few hours" "f"
"16674" NA NA "N/A" "f"
"16675" 100 100 "within an hour" "f"
"16676" 70 100 "within a day" "f"
"16677" 90 100 "within a day" "f"
"16678" 100 50 "within an hour" "f"
"16679" 100 88 "within a day" "f"
"16680" 80 100 "within a few hours" "f"
"16681" 100 100 "within an hour" "f"
"16682" NA NA "N/A" "f"
"16683" 100 0 "within an hour" "f"
"16684" 70 86 "within a day" "f"
"16685" 100 100 "within an hour" "f"
"16686" 90 100 "within a day" "f"
"16687" NA NA "N/A" "f"
"16688" 60 0 "within a day" "f"
"16689" 80 100 "within a day" "f"
"16690" 100 100 "within a few hours" "f"
"16691" 100 70 "within a few hours" "f"
"16692" 100 100 "within a day" "f"
"16693" 100 67 "within a few hours" "f"
"16694" 100 100 "within an hour" "f"
"16695" 100 100 "within a day" "f"
"16696" 100 100 "within an hour" "f"
"16697" 60 100 "within a day" "f"
"16698" 100 100 "within an hour" "f"
"16699" NA NA "N/A" "f"
"16700" NA NA "N/A" "f"
"16701" 100 100 "within an hour" "f"
"16702" NA NA "N/A" "f"
"16703" 78 67 "within a day" "f"
"16704" NA NA "N/A" "f"
"16705" 100 100 "within an hour" "f"
"16706" NA NA "N/A" "f"
"16707" 100 100 "within an hour" "f"
"16708" 90 97 "within a day" "f"
"16709" 100 70 "within a few hours" "f"
"16710" 60 100 "within a day" "f"
"16711" 100 100 "within an hour" "t"
"16712" 100 86 "within a few hours" "f"
"16713" 82 85 "within a day" "f"
"16714" 100 100 "within an hour" "f"
"16715" 100 67 "within an hour" "f"
"16716" 100 100 "within an hour" "f"
"16717" 100 75 "within a few hours" "f"
"16718" 100 100 "within a few hours" "f"
"16719" 100 100 "within a day" "f"
"16720" 100 60 "within a few hours" "f"
"16721" 100 NA "within a day" "f"
"16722" NA NA "N/A" "f"
"16723" 46 75 "a few days or more" "f"
"16724" NA NA "N/A" "f"
"16725" NA NA "N/A" "f"
"16726" 100 100 "within an hour" "f"
"16727" 100 100 "within a few hours" "f"
"16728" 88 100 "within an hour" "f"
"16729" 100 100 "within an hour" "f"
"16730" 100 100 "within an hour" "f"
"16731" 100 NA "within an hour" "f"
"16732" NA NA "N/A" "f"
"16733" NA NA "N/A" "f"
"16734" 100 50 "within an hour" "f"
"16735" 100 75 "within a few hours" "f"
"16736" 50 100 "within a day" "f"
"16737" 100 100 "within an hour" "f"
"16738" 75 NA "within a few hours" "f"
"16739" 93 82 "within a few hours" "f"
"16740" 100 50 "within an hour" "f"
"16741" 100 100 "within an hour" "f"
"16742" 94 67 "within a few hours" "f"
"16743" 100 0 "within a day" "f"
"16744" NA NA "N/A" "f"
"16745" 80 100 "within a day" "f"
"16746" NA NA "N/A" "f"
"16747" NA NA "N/A" "f"
"16748" NA NA "N/A" "f"
"16749" 100 93 "within a few hours" "f"
"16750" 90 89 "within a day" "f"
"16751" 100 67 "within an hour" "f"
"16752" 100 50 "within a few hours" "f"
"16753" NA NA "N/A" "f"
"16754" NA NA "N/A" "f"
"16755" 100 100 "within an hour" "f"
"16756" NA NA "N/A" "f"
"16757" 100 92 "within a few hours" "f"
"16758" 100 100 "within a few hours" "f"
"16759" 100 57 "within a few hours" "f"
"16760" NA NA "N/A" "f"
"16761" 90 50 "within a few hours" "f"
"16762" 100 NA "within a day" "f"
"16763" 90 100 "within a day" "f"
"16764" NA NA "N/A" "f"
"16765" 100 NA "within a day" "f"
"16766" 100 100 "within an hour" "f"
"16767" 75 100 "within a few hours" "f"
"16768" 100 97 "within an hour" "f"
"16769" 90 25 "within a few hours" "f"
"16770" NA NA "N/A" "f"
"16771" 100 100 "within an hour" "f"
"16772" 100 100 "within a few hours" "f"
"16773" 97 97 "within a few hours" "f"
"16774" 80 100 "within an hour" "t"
"16775" 100 100 "within a few hours" "f"
"16776" 100 100 "within a day" "f"
"16777" 100 0 "within a few hours" "f"
"16778" 100 100 "within an hour" "f"
"16779" 33 100 "a few days or more" "f"
"16780" 69 79 "within a day" "f"
"16781" 100 50 "within a day" "f"
"16782" NA NA "N/A" "f"
"16783" 100 96 "within an hour" "f"
"16784" 90 100 "within a day" "f"
"16785" NA NA "N/A" "f"
"16786" 25 100 "a few days or more" "f"
"16787" 100 100 "within an hour" "f"
"16788" NA NA "N/A" "f"
"16789" 100 100 "within an hour" "f"
"16790" 82 85 "within a day" "f"
"16791" 75 100 "within a day" "f"
"16792" 93 82 "within a few hours" "f"
"16793" 33 NA "a few days or more" "f"
"16794" NA NA "N/A" "f"
"16795" 86 88 "within a day" "f"
"16796" 13 NA "a few days or more" "f"
"16797" 100 100 "within a few hours" "f"
"16798" 25 67 "a few days or more" "f"
"16799" 67 100 "within a day" "f"
"16800" 82 81 "within a few hours" "f"
"16801" 78 100 "within a few hours" "f"
"16802" NA NA "N/A" "f"
"16803" 58 60 "within a day" "f"
"16804" 100 54 "within a few hours" "f"
"16805" 50 88 "within a day" "f"
"16806" 75 100 "within a day" "f"
"16807" 100 100 "within an hour" "f"
"16808" NA NA "N/A" "f"
"16809" NA 0 "N/A" "f"
"16810" NA NA "N/A" "f"
"16811" 100 0 "within a day" "f"
"16812" 100 100 "within an hour" "f"
"16813" 100 92 "within a few hours" "f"
"16814" 100 100 "within an hour" "t"
"16815" 100 NA "within an hour" "f"
"16816" 100 100 "within a day" "f"
"16817" 100 84 "within an hour" "t"
"16818" NA NA "N/A" "f"
"16819" 100 100 "within an hour" "f"
"16820" 100 100 "within an hour" "f"
"16821" 78 100 "within a day" "f"
"16822" NA NA "N/A" "f"
"16823" 82 81 "within a day" "f"
"16824" 90 43 "within a day" "f"
"16825" NA NA "N/A" "f"
"16826" NA NA "N/A" "f"
"16827" 100 100 "within an hour" "f"
"16828" 100 100 "within a few hours" "f"
"16829" 90 81 "within a few hours" "f"
"16830" NA NA "N/A" "f"
"16831" 100 100 "within a few hours" "f"
"16832" 100 100 "within an hour" "t"
"16833" NA NA "N/A" "f"
"16834" 90 86 "within a few hours" "f"
"16835" NA NA "N/A" "f"
"16836" 100 100 "within an hour" "f"
"16837" 90 83 "within a few hours" "f"
"16838" 80 80 "within a day" "f"
"16839" 100 100 "within an hour" "f"
"16840" NA NA "N/A" "f"
"16841" NA NA "N/A" "f"
"16842" 100 100 "within a few hours" "f"
"16843" 80 100 "within a day" "f"
"16844" NA NA "N/A" "f"
"16845" 100 56 "within an hour" "t"
"16846" 100 100 "within an hour" "f"
"16847" 90 100 "within an hour" "f"
"16848" 70 79 "within a day" "f"
"16849" 100 100 "within an hour" "f"
"16850" NA NA "N/A" "f"
"16851" 90 100 "within a day" "f"
"16852" NA NA "N/A" "f"
"16853" 100 NA "within an hour" "f"
"16854" 83 100 "within a few hours" "f"
"16855" 100 100 "within a few hours" "f"
"16856" 100 100 "within an hour" "f"
"16857" 100 79 "within a few hours" "f"
"16858" 100 67 "within an hour" "f"
"16859" NA NA "N/A" "f"
"16860" 50 100 "within a day" "f"
"16861" 100 100 "within a few hours" "f"
"16862" 100 100 "within an hour" "f"
"16863" 100 100 "within an hour" "f"
"16864" 91 89 "within a few hours" "f"
"16865" 100 NA "within a few hours" "f"
"16866" 100 96 "within a few hours" "f"
"16867" 100 100 "within an hour" "f"
"16868" 90 100 "within a few hours" "f"
"16869" 100 89 "within an hour" "f"
"16870" 100 100 "within an hour" "f"
"16871" 80 89 "within a few hours" "f"
"16872" 100 97 "within a few hours" "f"
"16873" 100 100 "within an hour" "f"
"16874" 100 96 "within a few hours" "f"
"16875" 100 95 "within an hour" "f"
"16876" NA NA "N/A" "f"
"16877" NA NA "N/A" "f"
"16878" 95 65 "within a few hours" "f"
"16879" NA NA "N/A" "f"
"16880" NA NA "N/A" "f"
"16881" 90 83 "within a day" "f"
"16882" 100 NA "within an hour" "f"
"16883" 100 100 "within an hour" "f"
"16884" 100 100 "within an hour" "f"
"16885" 100 83 "within an hour" "f"
"16886" 82 81 "within a day" "f"
"16887" 70 83 "within a day" "f"
"16888" 100 100 "within an hour" "f"
"16889" 100 NA "within a day" "f"
"16890" NA NA "N/A" "f"
"16891" 100 100 "within an hour" "f"
"16892" 80 90 "within a day" "f"
"16893" 100 NA "within a few hours" "f"
"16894" 100 100 "within an hour" "f"
"16895" 100 60 "within a few hours" "f"
"16896" 100 86 "within a few hours" "f"
"16897" 100 80 "within an hour" "f"
"16898" 99 99 "within a few hours" "f"
"16899" 100 100 "within an hour" "f"
"16900" 100 100 "within an hour" "f"
"16901" 100 100 "within a few hours" "f"
"16902" 100 NA "within a few hours" "f"
"16903" NA NA "N/A" "f"
"16904" NA NA "N/A" "f"
"16905" 100 85 "within an hour" "f"
"16906" 100 100 "within a few hours" "f"
"16907" NA NA "N/A" "f"
"16908" 100 94 "within an hour" "f"
"16909" NA NA "N/A" "f"
"16910" 100 67 "within an hour" "f"
"16911" NA NA "N/A" "f"
"16912" 100 67 "within a few hours" "f"
"16913" 100 100 "within an hour" "f"
"16914" NA NA "N/A" "f"
"16915" NA NA "N/A" "f"
"16916" 100 100 "within an hour" "f"
"16917" 100 100 "within an hour" "f"
"16918" NA NA "N/A" "f"
"16919" NA NA "N/A" "f"
"16920" 100 100 "within a day" "f"
"16921" 82 100 "within a few hours" "f"
"16922" 100 100 "within a few hours" "f"
"16923" 100 86 "within a few hours" "f"
"16924" 100 75 "within an hour" "f"
"16925" 50 NA "within a day" "f"
"16926" NA NA "N/A" "f"
"16927" NA NA "N/A" "f"
"16928" 80 NA "within a few hours" "f"
"16929" NA NA "N/A" "f"
"16930" NA NA "N/A" "f"
"16931" 64 76 "within a day" "f"
"16932" NA NA "N/A" "f"
"16933" NA NA "N/A" "f"
"16934" 100 100 "within a few hours" "f"
"16935" 100 80 "within an hour" "f"
"16936" 82 81 "within a day" "f"
"16937" 100 100 "within an hour" "f"
"16938" NA NA "N/A" "f"
"16939" NA NA "N/A" "f"
"16940" NA NA "N/A" "f"
"16941" NA NA "N/A" "f"
"16942" 100 75 "within a few hours" "f"
"16943" 86 50 "within a few hours" "f"
"16944" 80 50 "within a day" "f"
"16945" NA NA "N/A" "f"
"16946" 92 100 "within a few hours" "f"
"16947" NA NA "N/A" "f"
"16948" NA NA "N/A" "f"
"16949" 100 100 "within a few hours" "f"
"16950" 100 100 "within an hour" "f"
"16951" NA 100 "N/A" "f"
"16952" 88 75 "within a few hours" "f"
"16953" 33 100 "a few days or more" "f"
"16954" 100 100 "within an hour" "f"
"16955" 100 100 "within an hour" "f"
"16956" 100 96 "within a day" "f"
"16957" 100 NA "within an hour" "f"
"16958" 100 100 "within a day" "f"
"16959" 100 100 "within an hour" "f"
"16960" 90 67 "within a few hours" "f"
"16961" 100 92 "within a few hours" "f"
"16962" 50 100 "within a day" "f"
"16963" 92 99 "within a few hours" "f"
"16964" 100 50 "within an hour" "f"
"16965" 90 75 "within a few hours" "t"
"16966" 97 97 "within a few hours" "f"
"16967" 100 100 "within a day" "t"
"16968" 100 96 "within a day" "t"
"16969" 100 100 "within an hour" "f"
"16970" NA NA "N/A" "f"
"16971" NA NA "N/A" "f"
"16972" NA NA "N/A" "f"
"16973" 100 100 "within an hour" "t"
"16974" 100 100 "within an hour" "f"
"16975" 100 100 "within a day" "f"
"16976" 100 97 "within an hour" "f"
"16977" NA NA "N/A" "f"
"16978" 100 100 "within a few hours" "f"
"16979" NA NA "N/A" "f"
"16980" NA NA "N/A" "f"
"16981" 100 64 "within an hour" "t"
"16982" 100 96 "within a few hours" "f"
"16983" 100 NA "within a few hours" "t"
"16984" 100 67 "within an hour" "f"
"16985" 100 50 "within a few hours" "f"
"16986" 100 100 "within an hour" "f"
"16987" NA NA "N/A" "f"
"16988" NA NA "N/A" "f"
"16989" 100 88 "within a few hours" "f"
"16990" 67 100 "within an hour" "f"
"16991" 100 100 "within an hour" "f"
"16992" 100 NA "within an hour" "f"
"16993" 90 100 "within a day" "f"
"16994" 90 100 "within a few hours" "f"
"16995" 80 100 "within a day" "f"
"16996" 87 72 "within a day" "f"
"16997" 100 94 "within an hour" "f"
"16998" 100 75 "within an hour" "f"
"16999" 100 100 "within an hour" "t"
"17000" NA NA "N/A" "f"
"17001" 100 95 "within a few hours" "f"
"17002" 100 50 "within a day" "f"
"17003" 67 100 "within a day" "f"
"17004" 100 100 "within an hour" "f"
"17005" 82 81 "within a day" "f"
"17006" NA NA "N/A" "f"
"17007" NA NA "N/A" "f"
"17008" 100 100 "within an hour" "f"
"17009" 100 100 "within an hour" "f"
"17010" NA NA "N/A" "f"
"17011" 67 100 "within a day" "f"
"17012" 100 100 "within an hour" "f"
"17013" 100 94 "within a few hours" "f"
"17014" 90 100 "within a few hours" "f"
"17015" 88 33 "within a day" "f"
"17016" 100 100 "within an hour" "f"
"17017" 90 100 "within a few hours" "f"
"17018" 100 73 "within a day" "f"
"17019" 80 58 "within a day" "f"
"17020" 57 0 "within a day" "f"
"17021" 100 100 "within a day" "f"
"17022" 100 95 "within an hour" "f"
"17023" 100 100 "within a few hours" "f"
"17024" 90 100 "within an hour" "f"
"17025" 69 90 "within a day" "f"
"17026" 100 100 "within an hour" "f"
"17027" NA NA "N/A" "f"
"17028" 100 100 "within an hour" "f"
"17029" 90 75 "within a day" "f"
"17030" 100 100 "within an hour" "f"
"17031" NA NA "N/A" "f"
"17032" 94 59 "within a few hours" "f"
"17033" 80 67 "within a few hours" "f"
"17034" NA NA "N/A" "f"
"17035" 75 100 "within a day" "f"
"17036" 100 81 "within a day" "t"
"17037" 100 71 "within a few hours" "f"
"17038" 70 83 "within a day" "f"
"17039" 100 NA "within a few hours" "f"
"17040" NA NA "N/A" "f"
"17041" 100 NA "within an hour" "f"
"17042" NA NA "N/A" "f"
"17043" NA NA "N/A" "f"
"17044" NA 100 "N/A" "f"
"17045" 80 89 "within a few hours" "f"
"17046" 100 100 "within a few hours" "f"
"17047" NA NA "N/A" "f"
"17048" 100 NA "within an hour" "f"
"17049" 100 50 "within a few hours" "t"
"17050" 100 86 "within an hour" "f"
"17051" 80 100 "within a day" "f"
"17052" 100 100 "within an hour" "f"
"17053" 33 NA "a few days or more" "f"
"17054" NA NA "N/A" "f"
"17055" 100 100 "within a day" "f"
"17056" 100 100 "within an hour" "f"
"17057" 100 100 "within a day" "f"
"17058" 100 100 "within an hour" "f"
"17059" 100 100 "within an hour" "f"
"17060" 100 82 "within a few hours" "f"
"17061" 100 100 "within a few hours" "f"
"17062" NA NA "N/A" "t"
"17063" 100 0 "within a day" "f"
"17064" 100 100 "within a few hours" "f"
"17065" 100 100 "within a day" "f"
"17066" 100 100 "within an hour" "f"
"17067" 100 100 "within an hour" "f"
"17068" 100 100 "within an hour" "f"
"17069" 98 62 "within an hour" "f"
"17070" 90 67 "within a few hours" "f"
"17071" NA NA "N/A" "f"
"17072" NA NA "N/A" "f"
"17073" 68 91 "within a few hours" "f"
"17074" NA NA "N/A" "f"
"17075" NA NA "N/A" "f"
"17076" 100 75 "within an hour" "f"
"17077" 75 50 "within a day" "f"
"17078" NA NA "N/A" "f"
"17079" 90 67 "within a few hours" "f"
"17080" 100 100 "within an hour" "f"
"17081" 100 92 "within an hour" "f"
"17082" NA NA "N/A" "f"
"17083" NA NA "N/A" "f"
"17084" 100 100 "within a day" "f"
"17085" 50 NA "within a day" "f"
"17086" 100 100 "within an hour" "f"
"17087" 100 100 "within a few hours" "f"
"17088" 100 NA "within a few hours" "f"
"17089" 90 100 "within a few hours" "f"
"17090" 100 100 "within an hour" "f"
"17091" 95 100 "within an hour" "f"
"17092" 90 80 "within a day" "f"
"17093" 100 100 "within a few hours" "f"
"17094" 89 29 "within a day" "f"
"17095" 100 79 "within a few hours" "f"
"17096" 100 100 "within an hour" "f"
"17097" 100 100 "within an hour" "f"
"17098" 67 0 "within a day" "f"
"17099" 100 NA "within a few hours" "f"
"17100" 100 100 "within an hour" "f"
"17101" 100 100 "within an hour" "t"
"17102" 50 0 "within a day" "f"
"17103" 100 100 "within an hour" "f"
"17104" 60 NA "within a day" "f"
"17105" 100 100 "within a few hours" "f"
"17106" NA NA "N/A" "f"
"17107" 60 22 "within a day" "f"
"17108" 86 87 "within a few hours" "f"
"17109" 100 92 "within an hour" "f"
"17110" NA NA "N/A" "f"
"17111" 100 90 "within a few hours" "f"
"17112" 100 88 "within a day" "f"
"17113" NA NA "N/A" "f"
"17114" 80 0 "within a day" "f"
"17115" 90 100 "within a day" "f"
"17116" 100 100 "within an hour" "f"
"17117" 100 83 "within a few hours" "f"
"17118" 100 100 "within a day" "f"
"17119" 100 82 "within a few hours" "f"
"17120" 100 100 "within an hour" "f"
"17121" 100 100 "within an hour" "f"
"17122" 100 NA "within a day" "f"
"17123" 100 100 "within an hour" "f"
"17124" NA NA "N/A" "f"
"17125" 100 100 "within a few hours" "f"
"17126" 100 100 "within a day" "f"
"17127" 100 100 "within a few hours" "f"
"17128" 100 100 "within an hour" "f"
"17129" 100 69 "within a few hours" "f"
"17130" 100 90 "within a few hours" "t"
"17131" 100 NA "within a few hours" "f"
"17132" 50 67 "within a day" "f"
"17133" 100 100 "within an hour" "f"
"17134" 67 50 "within a day" "f"
"17135" 100 67 "within a day" "f"
"17136" 100 100 "within a few hours" "f"
"17137" NA NA "N/A" "f"
"17138" 100 NA "within a day" "f"
"17139" 100 100 "within an hour" "f"
"17140" 44 100 "a few days or more" "f"
"17141" NA NA "N/A" "f"
"17142" 100 NA "within an hour" "f"
"17143" 100 100 "within a few hours" "f"
"17144" NA NA "N/A" "f"
"17145" 90 43 "within a day" "f"
"17146" 82 85 "within a day" "f"
"17147" 90 69 "within a day" "f"
"17148" NA NA "N/A" "f"
"17149" 100 100 "within a few hours" "f"
"17150" 100 100 "within an hour" "f"
"17151" 80 90 "within a few hours" "f"
"17152" NA NA "N/A" "f"
"17153" 40 100 "a few days or more" "f"
